,adresse,code_postal,lat,lon,taille,surface,loyer,_src
91,117 rue de Ménilmontant,75020,48.869594,2.393132,T1,18,406,https://www.crous-paris.fr/logement/residence-freres-goncourt-2/
92,117 rue de Ménilmontant,75020,48.869594,2.393132,T1,20,426,https://www.crous-paris.fr/logement/residence-freres-goncourt-2/
93,117 rue de Ménilmontant,75020,48.869594,2.393132,T1,22,456,https://www.crous-paris.fr/logement/residence-freres-goncourt-2/
94,117 rue de Ménilmontant,75020,48.869594,2.393132,T1,28,530,https://www.crous-paris.fr/logement/residence-freres-goncourt-2/
95,"48, rue de la Goutte d'or ",75018,48.8852,2.350659,T1,15,372,https://www.crous-paris.fr/logement/residence-goutte-dor/
96,"48, rue de la Goutte d'or ",75018,48.8852,2.350659,T1,21,467,https://www.crous-paris.fr/logement/residence-goutte-dor/
97,54-56 rue des Grands Moulins ,75013,48.827675,2.376462,T1,19,386,https://www.crous-paris.fr/logement/residence-grands-moulins/
98,54-56 rue des Grands Moulins ,75013,48.827675,2.376462,T1,22,414,https://www.crous-paris.fr/logement/residence-grands-moulins/
99,"24 rue de la Harpe, Paris 5",,48.851975,2.344066,T1,21,512,https://www.crous-paris.fr/logement/residence-hostater/
100,"24 rue de la Harpe, Paris 5",,48.851975,2.344066,T1,38,663,https://www.crous-paris.fr/logement/residence-hostater/
101,39 avenue Georges Bernanos ,75005,48.840075,2.337413,T1,14,530,https://www.crous-paris.fr/logement/residence-jean-sarrailh/
102,39 avenue Georges Bernanos ,75005,48.840075,2.337413,T1,28,535,https://www.crous-paris.fr/logement/residence-jean-sarrailh/
103,"146-158, rue de la Tombe Issoire, 75014",75014,48.8226,2.330367,T1,19,429,https://www.crous-paris.fr/logement/residence-jourdan-3/
104,"146-158, rue de la Tombe Issoire, 75014",75014,48.8226,2.330367,T2,42,665,https://www.crous-paris.fr/logement/residence-jourdan-3/
105,14-18 rue Julie Daubié ,75013,48.826675,2.378676,T1,19,368,https://www.crous-paris.fr/logement/residence-julie-daubie/
106,14-18 rue Julie Daubié ,75013,48.826675,2.378676,T1,27,481,https://www.crous-paris.fr/logement/residence-julie-daubie/
107,7 place de la Garenne,75014,48.833438,2.320036,T1,18,325,https://www.crous-paris.fr/logement/residence-la-garenne/
108,7 place de la Garenne,75014,48.833438,2.320036,T1,22,372,https://www.crous-paris.fr/logement/residence-la-garenne/
109,24-28 rue Laghouat,75018,48.887897,2.354189,T1,17,396,https://www.crous-paris.fr/logement/residence-laghouat-2/
110,24-28 rue Laghouat,75018,48.887897,2.354189,T1,19,417,https://www.crous-paris.fr/logement/residence-laghouat-2/
111,24-28 rue Laghouat,75018,48.887897,2.354189,T1,23,462,https://www.crous-paris.fr/logement/residence-laghouat-2/
112,9-17 rue Louise Bourgeois,75013,48.826017,2.379319,T1,18,382,https://www.crous-paris.fr/logement/residence-louise-bourgeois/
113,9-17 rue Louise Bourgeois,75013,48.826017,2.379319,T1,19,395,https://www.crous-paris.fr/logement/residence-louise-bourgeois/
114,9-17 rue Louise Bourgeois,75013,48.826017,2.379319,T1,21,431,https://www.crous-paris.fr/logement/residence-louise-bourgeois/
115,9-17 rue Louise Bourgeois,75013,48.826017,2.379319,T1,24,471,https://www.crous-paris.fr/logement/residence-louise-bourgeois/
116,20-26 rue Bernard Buffet,75017,48.891489,2.315186,T1,19,411,https://www.crous-paris.fr/logement/residence-martin-luther-king/
117,20-26 rue Bernard Buffet,75017,48.891489,2.315186,T1,23,458,https://www.crous-paris.fr/logement/residence-martin-luther-king/
118,5-5 bis rue Mazet,75006,48.853914,2.339181,T1,17,415,https://www.crous-paris.fr/logement/residence-mazet/
119,5-5 bis rue Mazet,75006,48.853914,2.339181,T1,26,566,https://www.crous-paris.fr/logement/residence-mazet/
120,124-130 bd de Ménilmontant,75020,48.870046,2.396132,T1,18,388,https://www.crous-paris.fr/logement/residence-menilmontant-1-2/
121,124-130 bd de Ménilmontant,75020,48.870046,2.396132,T1,20,432,https://www.crous-paris.fr/logement/residence-menilmontant-1-2/
122,124-130 bd de Ménilmontant,75020,48.870046,2.396132,T2,36,675,https://www.crous-paris.fr/logement/residence-menilmontant-1-2/
